"sample_id","idx1","idx2","idx3","idx4","idx5","idx6","idx7","idx8","idx9","idx10","cutree.clusters..h...2.4."
"GAOX1-HK-anterior_0",0.679002573693892,1,0.573992152786968,0.291057491953021,0.0662755899448081,0.0122053140381664,0.0156220411150906,0.0071122402652629,0,0.0135414545575603,1
"GAOX1-HK-anterior_1",0.847100225066167,0.899681540950178,1,0.232641739115337,0.202140712310374,0.191118836397029,0.103934220819495,0.0691499366747338,0.0263465420932159,0,1
"GAOX1-HK-anterior_2",0.745157355551413,1,0.0372238352247756,0.0100001309244075,0,0.011394320000449,0.0393720452845889,0.0369207424712141,0.0206991121308139,0.111705534101352,1
"GAOX1-HK-anterior_3",1,0.54245732444602,0.77242553041956,0.25154917012879,0.0724026891948228,0.0411307763939935,0.0315827850640752,0.0122190569289573,0,0.104262004820617,1
"GAOX1-HK-anterior_4",1,0.0755286804890267,0.022176298779891,0.0379135311322573,0.00216854126331192,0.00151648390356262,0.020530795989192,0.0107722579083458,0,0.286545339307613,1
"GAOX1-anterior-3_0",1,0.596127330618693,0.798248931787181,0.571193380812473,0.419032543018374,0.355256279751032,0.253546354491697,0.0938450932370167,0,0.038793761418957,1
"GAOX1-anterior-3_1",1,0.293138995887294,0.231234572048088,0.152067285099427,0.205575109115128,0.27865905897715,0.107967600257396,0.135693298596146,0.0533044000532196,0,1
"GAOX1-anterior-3_2",0.0465614140510422,0,0.342609712303292,1,0.839218486574076,0.605196096335739,0.539936223630512,0.0911790540564938,0.247265355041225,0.516123219157879,2
"GAOX1-anterior-3_3",0.710889497663069,0.606627137281498,0.919778501380769,0.664028059510691,0.680923545267933,0.73926109890154,1,0.792501250867537,0.563678662714061,0,2
"GAOX1-anterior-3_4",1,0.543060734219539,0.60922505649915,0.821900310822025,0.639404043723403,0.334573259213658,0.0632678284866771,0.058193737629369,0,0.038803560180698,1
"APO-anterior-_0",1,0.978051513300165,0.274601463477769,0.0673845296479352,0.0211425940710742,0.0116348956661678,0.00661168301570922,0,0.00195443773164313,0.0450269812521401,1
"APO-anterior-_1",0.656245965596056,1,0.225612153070856,0.0515980038333346,0.0318899368307166,0.0317453490869058,0.0197943278090469,0.00849001226804955,0,0.0119653153737163,1
"APO-anterior-_2",1,0.434025178238556,0.370384086503521,0.261962340405771,0.148385138062419,0.102437976080978,0.0457083572091224,0.0272226202572629,0,0.132632451493059,1
"APO-anterior-_3",1,0.362254900743477,0.0364180958448737,0.0191009516041398,0.0406702952842883,0.0351086315591378,0.0216573064937508,0.00886768240078381,0,0.0304673771101027,1
"APO-anterior-_4",1,0.0752862767977819,0.00169492694406664,0.00744180614075049,0.0211017563242314,0.0298228901815326,0.0233812423706983,0.00664832569928192,0,0.0920911241131428,1
"GAOX1-medial-1_0",0.33813172749555,0.858262705070197,1,0.747366373218816,0.859230654193014,0.816821317704185,0.720216184839579,0.53012828517658,0.394707162371664,0,2
"GAOX1-medial-1_1",1,0.762993136615636,0.665226650600849,0.659831062982604,0.641092755625139,0.365941088870921,0.34210725536521,0.31855958402435,0.844062888675592,0,2
"GAOX1-medial-1_2",0.491448933632792,0.6793376597432,0.897968514471478,1,0.760104306028925,0.500679381549395,0.332221209901505,0.170698057353182,0,0.0201801983725802,2
"GAOX1-medial-1_3",0.997823770572598,0.675833453811919,0.810404237361781,1,0.839337475626145,0.233011990336488,0.557870478157573,0.461001753440421,0.572762543289581,0,2
"GAOX1-medial-1_4",1,0.756392853621377,0.671969978280355,0.907683624209528,0.864600428956451,0.593989977025587,0.431428084235705,0.181340914688447,0.177960180129499,0,2
"APO-anterior-1_0",0.974844423533995,1,0.911009429061395,0.686585785034339,0.414509799257101,0.208923399298023,0.118904029551327,0.0540772280066313,0.00790663971362599,0,1
"APO-anterior-1_1",1,0.854057066186432,0.825212054951783,0.927674511852605,0.94917751278967,0.190487500992161,0.08948367837895,0.0436771809785151,0,0.0723413678335001,2
"APO-anterior-1_2",0.965865445604801,1,0.91674810548663,0.883334282855816,0.301872580797743,0.0897257302221265,0.049383402486647,0.0275433825897112,0,0.00124678033778865,1
"APO-anterior-1_3",0.7786642958546,0.654371956046301,1,0.567034966340574,0.486999246618409,0.173284007793421,0.046495419354762,0.0308570014540496,0,0.0626434032336612,1
"APO-anterior-1_4",1,0.875813920656668,0.992767041354156,0.754586272333644,0.765645945161984,0.929730015010712,0.868917429160323,0.721352655490664,0.627712647584898,0,2
"APO-anterior-3_0",1,0.800282947489059,0.652036860661763,0.876802392734793,0.821942258191163,0.175762883952956,0.0776785605480136,0.0353868539763357,0,0.0519278681881474,2
